date,close,open,high,low,volume,returns
2021/11/23,"3,761.62","3,752.64","3,771.36","3,749.33",35.97B,0.20%
2021/11/22,"3,754.29","3,733.98","3,757.48","3,733.96",32.96B,0.61%
2021/11/19,"3,731.50","3,688.28","3,733.13","3,686.59",31.77B,1.13%
2021/11/18,"3,689.78","3,701.08","3,707.90","3,681.78",31.21B,-0.47%
2021/11/17,"3,707.26","3,687.55","3,707.42","3,682.26",27.64B,0.44%
2021/11/16,"3,690.92","3,700.05","3,720.32","3,686.78",31.01B,-0.33%
2021/11/15,"3,702.98","3,713.24","3,721.20","3,690.39",31.28B,-0.16%
2021/11/12,"3,709.05","3,703.95","3,713.80","3,696.72",30.84B,0.18%
2021/11/11,"3,702.52","3,653.95","3,704.02","3,650.11",32.17B,1.15%
2021/11/10,"3,660.26","3,667.04","3,667.04","3,614.06",30.67B,-0.42%
2021/11/9,"3,675.52","3,675.63","3,683.85","3,656.64",28.70B,0.24%
2021/11/8,"3,666.72","3,659.77","3,675.80","3,651.66",29.79B,0.20%
2021/11/5,"3,659.34","3,689.22","3,695.31","3,659.23",35.40B,-1.00%
2021/11/4,"3,696.23","3,674.17","3,697.38","3,671.18",31.91B,0.81%
2021/11/3,"3,666.51","3,669.16","3,681.28","3,647.57",30.63B,-0.20%
2021/11/2,"3,673.95","3,713.68","3,730.12","3,644.62",41.71B,-1.10%
2021/11/1,"3,714.82","3,700.08","3,727.53","3,688.39",38.19B,-0.08%
2021/10/29,"3,717.82","3,688.39","3,717.82","3,671.09",35.84B,0.82%
2021/10/28,"3,687.49","3,719.16","3,722.67","3,678.12",37.75B,-1.23%
2021/10/27,"3,733.40","3,762.31","3,762.31","3,723.77",35.02B,-0.98%
2021/10/26,"3,770.47","3,786.43","3,799.21","3,762.15",33.70B,-0.34%
2021/10/25,"3,783.31","3,745.97","3,784.60","3,735.42",32.09B,0.76%
2021/10/22,"3,754.72","3,767.43","3,780.91","3,750.67",35.28B,-0.34%
2021/10/21,"3,767.46","3,762.52","3,784.43","3,748.11",35.20B,0.22%
2021/10/20,"3,759.32","3,755.36","3,768.79","3,746.00",34.36B,-0.17%
2021/10/19,"3,765.70","3,733.32","3,769.52","3,731.56",33.39B,0.70%
2021/10/18,"3,739.46","3,742.54","3,742.54","3,709.39",34.06B,-0.12%
2021/10/15,"3,743.92","3,722.54","3,750.64","3,712.78",32.00B,0.40%
2021/10/14,"3,729.15","3,725.81","3,741.13","3,717.51",29.47B,-0.10%
2021/10/13,"3,732.79","3,713.60","3,740.52","3,684.44",32.47B,0.42%
2021/10/12,"3,717.20","3,753.25","3,755.70","3,683.87",40.49B,-1.25%
2021/10/11,"3,764.18","3,773.29","3,788.34","3,758.98",39.39B,-0.01%
2021/10/8,"3,764.70","3,782.52","3,786.14","3,743.26",40.67B,0.67%
2021/9/30,"3,739.57","3,712.10","3,744.05","3,712.10",39.53B,0.90%
2021/9/29,"3,706.18","3,745.22","3,745.22","3,687.08",45.21B,-1.83%
2021/9/28,"3,775.33","3,749.87","3,784.47","3,740.34",44.37B,0.54%
2021/9/27,"3,755.06","3,800.25","3,815.82","3,731.02",51.02B,-0.84%
2021/9/24,"3,786.72","3,812.68","3,826.96","3,781.18",50.68B,-0.80%
2021/9/23,"3,817.24","3,826.76","3,847.39","3,806.82",53.45B,0.38%
2021/9/22,"3,802.89","3,734.43","3,803.90","3,731.59",47.18B,0.40%
